2026-05-24T21:13:26.312+08:00	frame=0	bvp=-0.676814	hr=59.907	rmssd=nan	sdnn=nan	quality=0.257	va_mode=vision	fatigue_state=ready	fatigue_raw=0.817	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=-0.078	arousal_raw=-0.284	valence_calib=0.481	arousal_calib=0.451	va_calib_state=ready
2026-05-24T21:13:47.820+08:00	frame=0	bvp=0.998800	hr=66.563	rmssd=nan	sdnn=nan	quality=0.330	va_mode=vision	fatigue_state=ready	fatigue_raw=0.792	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=-0.089	arousal_raw=-0.342	valence_calib=0.465	arousal_calib=0.307	va_calib_state=ready
2026-05-24T21:14:09.443+08:00	frame=0	bvp=-0.163525	hr=66.563	rmssd=nan	sdnn=nan	quality=0.294	va_mode=vision	fatigue_state=ready	fatigue_raw=0.746	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=-0.067	arousal_raw=-0.320	valence_calib=0.499	arousal_calib=0.360	va_calib_state=ready
2026-05-24T21:14:31.116+08:00	frame=0	bvp=-0.779414	hr=59.907	rmssd=nan	sdnn=nan	quality=0.232	va_mode=vision	fatigue_state=ready	fatigue_raw=0.397	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.025	arousal_raw=-0.270	valence_calib=0.641	arousal_calib=0.486	va_calib_state=ready
2026-05-24T21:14:51.704+08:00	frame=0	bvp=-0.799528	hr=66.563	rmssd=nan	sdnn=nan	quality=0.367	va_mode=vision	fatigue_state=ready	fatigue_raw=0.722	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.027	arousal_raw=-0.341	valence_calib=0.644	arousal_calib=0.308	va_calib_state=ready
2026-05-24T21:15:49.464+08:00	frame=0	bvp=-0.626010	hr=53.251	rmssd=nan	sdnn=nan	quality=0.245	va_mode=vision	fatigue_state=ready	fatigue_raw=0.948	fatigue_calib=0.526	calib_baseline=0.943	valence_raw=0.098	arousal_raw=-0.203	valence_calib=0.753	arousal_calib=0.652	va_calib_state=ready
2026-05-24T21:16:11.201+08:00	frame=0	bvp=0.812317	hr=93.189	rmssd=286.965	sdnn=232.261	quality=0.510	va_mode=vision	fatigue_state=ready	fatigue_raw=0.998	fatigue_calib=0.759	calib_baseline=0.943	valence_raw=0.135	arousal_raw=-0.215	valence_calib=0.810	arousal_calib=0.622	va_calib_state=ready
2026-05-24T21:16:32.149+08:00	frame=0	bvp=1.519995	hr=126.470	rmssd=nan	sdnn=nan	quality=0.245	va_mode=vision	fatigue_state=ready	fatigue_raw=1.000	fatigue_calib=0.768	calib_baseline=0.943	valence_raw=0.205	arousal_raw=-0.206	valence_calib=0.918	arousal_calib=0.643	va_calib_state=ready
2026-05-24T21:16:53.821+08:00	frame=0	bvp=0.690412	hr=53.251	rmssd=nan	sdnn=nan	quality=0.210	va_mode=vision	fatigue_state=ready	fatigue_raw=0.991	fatigue_calib=0.728	calib_baseline=0.943	valence_raw=0.168	arousal_raw=-0.201	valence_calib=0.861	arousal_calib=0.655	va_calib_state=ready
2026-05-24T21:17:16.071+08:00	frame=0	bvp=0.869131	hr=139.783	rmssd=nan	sdnn=nan	quality=0.181	va_mode=vision	fatigue_state=ready	fatigue_raw=0.515	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=-0.049	arousal_raw=-0.171	valence_calib=0.526	arousal_calib=0.729	va_calib_state=ready
